Bronx 421A Exempt Properties as of FINAL Roll FY'14/15,,,,,,,,,,,,,,
Neighborhood Name and Descriptive Data is as of Final 14/15,,,,,,,,,,,,,,
"Unit information first from RPAD, if missing then from VISION.",,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE, RESIDENTIAL UNITS , COMMERCIAL UNITS , TOTAL UNITS , LAND SQUARE FEET , GROSS SQUARE FEET ,YEAR BUILT
2,BATHGATE                 ,03  3-FAMILY                                ,1,3030,157,C0,410 EAST 183 STREET                      ,10458,3,0,3,"2,000","4,872",2005
2,BATHGATE                 ,03  3-FAMILY                                ,1,3030,158,C0,412 EAST 183 STREET                      ,10458,3,0,3,"1,978","4,872",2005
2,BATHGATE                 ,03  3-FAMILY                                ,1,3037,103,C0,2135 WASHINGTON AVENUE                   ,10457,3,0,3,"1,701","4,600",2006
2,BATHGATE                 ,03  3-FAMILY                                ,1,3037,104,C0,465 EAST 181 STREET                      ,10457,3,0,3,"1,095","3,706",2006
2,BATHGATE                 ,03  3-FAMILY                                ,1,3037,105,C0,463 EAST 181 STREET                      ,10457,3,0,3,"1,095","3,706",2006
2,BATHGATE                 ,03  3-FAMILY                                ,1,3037,106,C0,461 EAST 181 STREET                      ,10457,3,0,3,"1,095","3,706",2006
2,BATHGATE                 ,03  3-FAMILY                                ,1,3037,107,C0,459 EAST 181 STREET                      ,10457,3,0,3,"1,095","3,706",2006
2,BATHGATE                 ,03  3-FAMILY                                ,1,3037,108,C0,457 EAST 181 STREET                      ,10457,3,0,3,"1,419","3,706",2006
2,BATHGATE                 ,03  3-FAMILY                                ,1,3037,109,C0,455 EAST 181 STREET                      ,10457,3,0,3,"1,687","4,050",2006
2,BATHGATE                 ,03  3-FAMILY                                ,1,3037,110,C0,453 EAST 181 STREET                      ,10457,3,0,3,"1,687","4,050",2006
2,BATHGATE                 ,03  3-FAMILY                                ,1,3041,5,C0,4684 PARK AVENUE                         ,10458,3,0,3,"1,296","3,700",2004
